[Header]
TITLE,SQUID Response (Moment -2.591196E-004 EMU) (Std Dev. 1.270629E-007)
BYAPP,MPMS Measurement,2.1,Raw
FILEOPENTIME, 1615614821.533000 3/13/2021, 6:53:41 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: H5T_Lin_NoO.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,8,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,11,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,14,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
FIELDGROUP,Transverse,1,2,3,4,5,6,7,8,23,24,25,26,27,28,29,30,31,32,33,34,35,36

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,LINES_ONLY

[Data]
Time,Comment,Field (Oe),Start Temperature (K),End Temperature (K),Scan,Rejected,Position (cm),Long Voltage,Long Average Voltage,Long Detrended Voltage,Long Demeaned Voltage,Long Reg Fit,Long Detrended Fit,Long Demeaned Fit,Long Scaled Response,Long Avg. Scaled Response,Long Background Response,Long Response [w/ABS],Long Detrended Resp. [w/ABS],Long Fit [w/ABS],Long Detrended Fit [w/ABS],Trans Voltage,Trans Average Voltage,Trans Detrended Voltage,Trans Demeaned Voltage,Trans Reg Fit,Trans Detrended Fit,Trans Demeaned Fit,Trans Scaled Response,Trans Avg. Scaled Response,Trans Background Response,Trans Response [w/ABS],Trans Detrended Resp. [w/ABS],Trans Adjusted Fit,Trans Detrended Fit [w/ABS],
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,8.194270e-001,2.917417e+000,2.954100e+000,8.243075e-001,7.382150e-001,2.904793e+000,7.750006e-001,6.889081e-001,3.595668e-004,3.640879e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,7.279647e-001,3.156835e+000,3.196875e+000,1.075691e+000,9.809897e-001,3.171266e+000,1.050082e+000,9.553804e-001,3.890746e-004,3.940095e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,6.493214e-001,3.326670e+000,3.366802e+000,1.254228e+000,1.150917e+000,3.357704e+000,1.245130e+000,1.141819e+000,4.100066e-004,4.149527e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,5.859448e-001,3.424024e+000,3.462477e+000,1.358513e+000,1.246592e+000,3.473722e+000,1.369757e+000,1.257837e+000,4.220053e-004,4.267446e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,5.400594e-001,3.481094e+000,3.519913e+000,1.424558e+000,1.304028e+000,3.535638e+000,1.440282e+000,1.319753e+000,4.290390e-004,4.338234e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,5.133468e-001,3.489639e+000,3.531266e+000,1.444520e+000,1.315381e+000,3.560197e+000,1.473451e+000,1.344312e+000,4.300922e-004,4.352227e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,5.066732e-001,3.495743e+000,3.533097e+000,1.454960e+000,1.317212e+000,3.558960e+000,1.480823e+000,1.343075e+000,4.308445e-004,4.354484e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,5.199248e-001,3.487350e+000,3.526902e+000,1.457374e+000,1.311017e+000,3.535354e+000,1.465827e+000,1.319469e+000,4.298101e-004,4.346848e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,5.519892e-001,3.431959e+000,3.481308e+000,1.420389e+000,1.265422e+000,3.484503e+000,1.423584e+000,1.268617e+000,4.229832e-004,4.290653e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,6.008945e-001,3.355510e+000,3.409741e+000,1.357432e+000,1.193856e+000,3.395456e+000,1.343147e+000,1.179571e+000,4.135610e-004,4.202450e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,6.640818e-001,3.231605e+000,3.283731e+000,1.240030e+000,1.067845e+000,3.255486e+000,1.211786e+000,1.039601e+000,3.982899e-004,4.047143e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,7.387629e-001,3.055818e+000,3.103305e+000,1.068214e+000,8.874199e-001,3.055211e+000,1.020121e+000,8.393261e-001,3.766245e-004,3.824772e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,8.222915e-001,2.800073e+000,2.848109e+000,8.216279e-001,6.322243e-001,2.792142e+000,7.656603e-001,5.762568e-001,3.451044e-004,3.510247e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,9.124819e-001,2.521744e+000,2.569964e+000,5.520914e-001,3.540785e-001,2.470515e+000,4.526432e-001,2.546303e-001,3.108008e-004,3.167437e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.007813e+000,2.166967e+000,2.210059e+000,2.007958e-001,-5.826235e-003,2.097806e+000,8.854241e-002,-1.180797e-001,2.670751e-004,2.723861e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.107485e+000,1.724143e+000,1.765587e+000,-2.350665e-001,-4.502978e-001,1.680565e+000,-3.200888e-001,-5.353202e-001,2.124978e-004,2.176057e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.211336e+000,1.267434e+000,1.312204e+000,-6.798402e-001,-9.036808e-001,1.222297e+000,-7.697480e-001,-9.935886e-001,1.562091e-004,1.617270e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.319629e+000,7.081820e-001,7.508163e-001,-1.232619e+000,-1.465069e+000,7.246538e-001,-1.258781e+000,-1.491231e+000,8.728226e-005,9.253687e-005,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.432783e+000,1.742607e-001,2.131413e-001,-1.761685e+000,-2.002744e+000,1.924057e-001,-1.782420e+000,-2.023479e+000,2.147734e-005,2.626931e-005,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.551101e+000,-4.225288e-001,-3.773614e-001,-2.343578e+000,-2.593246e+000,-3.576737e-001,-2.323890e+000,-2.573559e+000,-5.207597e-005,-4.650916e-005,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.674555e+000,-9.517197e-001,-8.989532e-001,-2.856561e+000,-3.114838e+000,-8.855246e-001,-2.843132e+000,-3.101410e+000,-1.172979e-004,-1.107945e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.802670e+000,-1.375011e+000,-1.324442e+000,-3.273441e+000,-3.540328e+000,-1.321184e+000,-3.270182e+000,-3.537069e+000,-1.694679e-004,-1.632353e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,1.934526e+000,-1.605121e+000,-1.560015e+000,-3.500404e+000,-3.775900e+000,-1.576370e+000,-3.516760e+000,-3.792256e+000,-1.978285e-004,-1.922692e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.068862e+000,-1.596118e+000,-1.550981e+000,-3.482761e+000,-3.766866e+000,-1.581613e+000,-3.513393e+000,-3.797498e+000,-1.967189e-004,-1.911559e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.204244e+000,-1.364025e+000,-1.317545e+000,-3.240716e+000,-3.533430e+000,-1.328071e+000,-3.251241e+000,-3.543956e+000,-1.681138e-004,-1.623852e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.339243e+000,-9.227271e-001,-8.756981e-001,-2.790259e+000,-3.091583e+000,-8.745447e-001,-2.789106e+000,-3.090430e+000,-1.137246e-004,-1.079283e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.472579e+000,-3.846858e-001,-3.349101e-001,-2.240862e+000,-2.550795e+000,-3.115356e-001,-2.217488e+000,-2.527421e+000,-4.741189e-005,-4.127712e-005,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.603178e+000,1.937925e-001,2.511978e-001,-1.646145e+000,-1.964687e+000,2.818717e-001,-1.615471e+000,-1.934013e+000,2.388461e-005,3.095972e-005,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.730138e+000,7.658620e-001,8.291574e-001,-1.059576e+000,-1.386728e+000,8.568185e-001,-1.031915e+000,-1.359067e+000,9.439122e-005,1.021923e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.852608e+000,1.297647e+000,1.352672e+000,-5.274524e-001,-8.632133e-001,1.389840e+000,-4.902843e-001,-8.260452e-001,1.599328e-004,1.667146e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.969617e+000,1.802881e+000,1.851772e+000,-1.974345e-002,-3.641136e-001,1.869776e+000,-1.738675e-003,-3.461088e-001,2.222021e-004,2.282278e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.079907e+000,2.190924e+000,2.242836e+000,3.799300e-001,2.695060e-002,2.287614e+000,4.247081e-001,7.172871e-002,2.700277e-004,2.764258e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.181818e+000,2.553636e+000,2.604633e+000,7.503361e-001,3.887475e-001,2.633343e+000,7.790469e-001,4.174583e-001,3.147314e-004,3.210166e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.273280e+000,2.786798e+000,2.833247e+000,9.875597e-001,6.173618e-001,2.899176e+000,1.053489e+000,6.832912e-001,3.434682e-004,3.491930e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.351923e+000,3.002106e+000,3.049440e+000,1.212362e+000,8.335547e-001,3.084947e+000,1.247869e+000,8.690619e-001,3.700045e-004,3.758384e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.415300e+000,3.084201e+000,3.139592e+000,1.311123e+000,9.237065e-001,3.200362e+000,1.371893e+000,9.844768e-001,3.801226e-004,3.869495e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.461185e+000,3.151036e+000,3.204413e+000,1.384553e+000,9.885278e-001,3.261817e+000,1.441957e+000,1.045932e+000,3.883599e-004,3.949386e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.487898e+000,3.195441e+000,3.240181e+000,1.428930e+000,1.024296e+000,3.286104e+000,1.474853e+000,1.070219e+000,3.938327e-004,3.993469e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.494571e+000,3.189184e+000,3.237159e+000,1.434518e+000,1.021274e+000,3.284798e+000,1.482157e+000,1.068913e+000,3.930616e-004,3.989745e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.481320e+000,3.176519e+000,3.228950e+000,1.434918e+000,1.013065e+000,3.261328e+000,1.467296e+000,1.045443e+000,3.915007e-004,3.979627e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.449255e+000,3.133488e+000,3.183569e+000,1.398146e+000,9.676836e-001,3.210803e+000,1.425380e+000,9.949176e-001,3.861972e-004,3.923695e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.400350e+000,3.052156e+000,3.101749e+000,1.324935e+000,8.858635e-001,3.122243e+000,1.345430e+000,9.063578e-001,3.761731e-004,3.822854e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.337163e+000,2.894528e+000,2.949034e+000,1.180830e+000,7.331488e-001,2.982862e+000,1.214658e+000,7.669768e-001,3.567458e-004,3.634635e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.262482e+000,2.688528e+000,2.743858e+000,9.842634e-001,5.279729e-001,2.783206e+000,1.023611e+000,5.673206e-001,3.313566e-004,3.381759e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.178953e+000,2.470016e+000,2.521287e+000,7.703012e-001,3.054016e-001,2.520709e+000,7.697238e-001,3.048241e-001,3.044253e-004,3.107444e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,3.088763e+000,2.156896e+000,2.206885e+000,4.645086e-001,-9.000301e-003,2.199567e+000,4.571908e-001,-1.631808e-002,2.658338e-004,2.719949e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.993432e+000,1.784570e+000,1.839045e+000,1.052784e-001,-3.768398e-001,1.827247e+000,9.347955e-002,-3.886386e-001,2.199453e-004,2.266593e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.893759e+000,1.406140e+000,1.455672e+000,-2.694858e-001,-7.602133e-001,1.410321e+000,-3.148363e-001,-8.055637e-001,1.733044e-004,1.794091e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.789909e+000,9.178442e-001,9.592883e-001,-7.572602e-001,-1.256597e+000,9.523136e-001,-7.642349e-001,-1.263572e+000,1.131228e-004,1.182307e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.681616e+000,4.353465e-001,4.781335e-001,-1.229806e+000,-1.737752e+000,4.548684e-001,-1.253071e+000,-1.761017e+000,5.365573e-005,5.892916e-005,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.568462e+000,-1.251259e-001,-7.379375e-002,-1.773124e+000,-2.289679e+000,-7.731459e-002,-1.776645e+000,-2.293200e+000,-1.542156e-005,-9.094958e-006,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.450144e+000,-6.633198e-001,-6.139103e-001,-2.304631e+000,-2.829795e+000,-6.276141e-001,-2.318335e+000,-2.843499e+000,-8.175306e-005,-7.566343e-005,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.326690e+000,-1.156651e+000,-1.113773e+000,-2.795884e+000,-3.329658e+000,-1.156199e+000,-2.838311e+000,-3.372085e+000,-1.425554e-004,-1.372707e-004,,,,,,,,,,,,,,,,,,,,
1615614821.523,,5.000000e+004,2.999954e+001,3.000099e+001,5,0,2.198575e+000,-1.544389e+000,-1.497421e+000,-3.170923e+000,-3.713306e+000,-1.593310e+000,-3.266812e+000,-3.809195e+000,-1.903434e-004,-1.845547e-004,,,,,,,,,,,,,,,,,,,,
